leave_id,employee_id,leave_type,start_date,end_date,days_count,status,approved_by
452,183,Maternity,2024-08-30,2024-09-04,5,Approved,24
453,225,Sick,2024-08-20,2024-08-25,5,Approved,15
454,29,Maternity,2023-05-31,2023-06-11,11,Approved,26
455,56,Paternity,2023-11-10,2023-11-13,3,Pending,14
456,132,Unpaid,2023-08-25,2023-09-04,10,Approved,9
457,52,Maternity,2024-01-29,2024-02-04,6,Approved,10
458,186,Paternity,2024-03-06,2024-03-18,12,Approved,3
459,163,Sick,2023-10-27,2023-11-08,12,Approved,23
460,262,Unpaid,2024-06-07,2024-06-20,13,Approved,13
461,163,Annual,2023-11-02,2023-11-09,7,Pending,20
462,13,Maternity,2023-08-23,2023-09-07,15,Approved,3
463,286,Maternity,2024-05-02,2024-05-17,15,Approved,8
464,115,Paternity,2024-09-02,2024-09-04,2,Approved,20
465,134,Unpaid,2024-05-26,2024-06-01,6,Approved,7
466,248,Sick,2024-05-14,2024-05-22,8,Approved,15
467,129,Sick,2023-05-05,2023-05-11,6,Approved,4
468,1,Sick,2023-06-18,2023-06-24,6,Pending,22
469,51,Sick,2023-08-04,2023-08-09,5,Approved,5
470,234,Sick,2023-07-04,2023-07-08,4,Approved,10
471,248,Maternity,2023-03-12,2023-03-22,10,Approved,16
472,27,Paternity,2023-02-20,2023-03-03,11,Approved,8
473,286,Unpaid,2024-09-02,2024-09-17,15,Pending,15
474,191,Sick,2023-08-03,2023-08-07,4,Approved,1
475,272,Sick,2024-06-27,2024-07-03,6,Rejected,15
476,280,Sick,2024-01-10,2024-01-16,6,Rejected,8
477,271,Unpaid,2023-06-12,2023-06-14,2,Approved,25
478,52,Annual,2024-01-14,2024-01-29,15,Approved,12
479,297,Unpaid,2024-06-03,2024-06-13,10,Rejected,22
480,63,Annual,2023-04-06,2023-04-15,9,Approved,20
481,93,Unpaid,2024-09-27,2024-10-02,5,Approved,27
482,121,Maternity,2024-12-28,2025-01-06,9,Approved,21
483,131,Sick,2023-01-03,2023-01-10,7,Approved,30
484,164,Maternity,2024-08-25,2024-09-06,12,Approved,10
485,146,Unpaid,2023-07-20,2023-07-24,4,Approved,23
486,228,Sick,2023-04-12,2023-04-25,13,Approved,9
487,290,Sick,2023-02-21,2023-03-07,14,Approved,5
488,101,Annual,2023-10-11,2023-10-24,13,Pending,20
489,236,Sick,2024-10-22,2024-10-24,2,Approved,7
490,151,Sick,2023-08-15,2023-08-18,3,Approved,17
491,255,Sick,2024-11-02,2024-11-15,13,Approved,16
492,294,Annual,2024-05-29,2024-06-02,4,Pending,4
493,86,Maternity,2023-05-19,2023-05-21,2,Approved,26
494,222,Unpaid,2024-07-06,2024-07-16,10,Rejected,2
495,58,Unpaid,2023-05-31,2023-06-05,5,Rejected,27
496,242,Sick,2024-11-05,2024-11-08,3,Rejected,10
497,185,Sick,2024-10-29,2024-11-08,10,Rejected,15
498,299,Annual,2024-01-29,2024-02-08,10,Approved,27
499,44,Annual,2024-07-07,2024-07-11,4,Pending,19
500,260,Unpaid,2024-04-19,2024-04-27,8,Approved,14
