training_id,employee_id,program_name,provider,start_date,completion_date,status,cost
333,18,AWS Cloud Practitioner,Pluralsight,2023-01-27,2024-09-27,Dropped,1063.12
334,12,Python for Data Science,Coursera,2023-09-20,2023-04-17,Completed,2561.77
335,196,Agile & Scrum Fundamentals,Coursera,2024-01-19,2023-07-11,Completed,1329.72
336,96,Python for Data Science,Udemy,2023-04-27,2024-08-07,Completed,2476.01
337,288,Agile & Scrum Fundamentals,Pluralsight,2023-01-23,2024-05-16,Completed,2245.64
338,245,Communication Skills,Coursera,2024-04-12,,In Progress,688.8
339,143,SQL Bootcamp,Pluralsight,2023-07-17,2023-06-25,Completed,1423.25
340,247,Cybersecurity Awareness,Internal,2024-05-18,2023-11-05,Dropped,1194.5
341,280,Cybersecurity Awareness,Udemy,2023-07-10,2023-11-28,Completed,510.82
342,288,Design Thinking,Pluralsight,2023-02-06,2024-04-27,Completed,2611.26
343,147,Communication Skills,LinkedIn Learning,2024-06-26,2024-04-25,Completed,1213.71
344,154,Cybersecurity Awareness,Coursera,2023-07-03,2024-05-05,Completed,832.83
345,276,AWS Cloud Practitioner,Pluralsight,2024-01-07,,Completed,591.59
346,267,Project Management Professional,Udemy,2023-12-01,,Completed,1467.6
347,202,Agile & Scrum Fundamentals,LinkedIn Learning,2023-03-11,2024-08-27,Enrolled,2012.16
348,226,Excel Advanced,Internal,2024-02-22,2024-09-21,Completed,2177.13
349,10,Agile & Scrum Fundamentals,Coursera,2024-06-20,2023-08-03,Completed,2627.33
350,215,Python for Data Science,Internal,2024-06-01,2024-12-17,Completed,2019.47
351,145,AWS Cloud Practitioner,Coursera,2023-12-05,2023-03-04,In Progress,2531.98
352,241,SQL Bootcamp,LinkedIn Learning,2024-02-18,,Enrolled,1245.49
353,135,Communication Skills,LinkedIn Learning,2023-04-05,2024-03-21,Enrolled,2327.1
354,178,Agile & Scrum Fundamentals,Coursera,2023-05-16,,Enrolled,2046.14
355,120,SQL Bootcamp,Udemy,2024-05-28,2024-06-10,In Progress,1618.36
356,221,SQL Bootcamp,Internal,2023-11-19,2024-11-16,Completed,2522.45
357,28,Leadership Essentials,Internal,2023-01-15,2024-01-25,Completed,1861.54
358,238,Python for Data Science,Coursera,2023-12-09,2023-07-19,Completed,959.32
359,69,Excel Advanced,Internal,2024-01-19,2024-12-05,Dropped,1823.23
360,249,SQL Bootcamp,Internal,2023-07-20,2023-05-29,Completed,753.53
361,3,AWS Cloud Practitioner,Udemy,2024-04-19,2023-04-26,Completed,288.15
362,26,Python for Data Science,Udemy,2023-03-26,2024-10-08,Completed,144.03
363,274,Excel Advanced,Internal,2023-11-19,2024-01-07,Completed,2069.1
364,127,Excel Advanced,Udemy,2023-06-03,2023-09-23,Enrolled,251.46
365,66,Leadership Essentials,Pluralsight,2023-09-04,2024-09-17,Enrolled,2977.67
366,265,Agile & Scrum Fundamentals,LinkedIn Learning,2024-06-09,2024-07-21,Completed,1821.25
367,255,Agile & Scrum Fundamentals,Udemy,2024-04-09,2024-07-07,Completed,1037.96
368,73,Project Management Professional,Coursera,2023-07-14,2024-11-02,Completed,2748.56
369,201,Design Thinking,Pluralsight,2023-10-11,2024-08-08,Dropped,2192.5
370,32,Communication Skills,Internal,2023-01-29,2024-05-24,Completed,2922.26
371,214,AWS Cloud Practitioner,Internal,2023-10-25,2024-01-06,Completed,1619.16
372,290,Design Thinking,Pluralsight,2024-05-26,,Completed,2289.48
373,200,Agile & Scrum Fundamentals,Coursera,2023-05-26,2025-01-01,Completed,462.38
374,22,Design Thinking,Udemy,2024-04-14,2023-10-10,In Progress,2490.27
375,265,Leadership Essentials,Coursera,2023-05-27,,Completed,2268.09
376,175,Leadership Essentials,Udemy,2024-06-03,2023-09-04,Completed,872.72
377,167,Excel Advanced,Coursera,2024-02-02,2023-07-20,Dropped,1491.24
378,1,SQL Bootcamp,Internal,2024-05-25,2023-04-21,In Progress,2265.16
379,106,AWS Cloud Practitioner,Udemy,2024-03-17,,Completed,2292.4
380,238,SQL Bootcamp,LinkedIn Learning,2023-09-03,,Completed,806.93
381,273,Excel Advanced,Internal,2023-10-06,2023-09-13,Completed,232.5
382,107,AWS Cloud Practitioner,Udemy,2023-08-26,2024-12-11,Enrolled,2442.45
383,125,Project Management Professional,Internal,2024-05-07,2024-01-31,Completed,1637.28
384,40,Design Thinking,Internal,2023-10-12,2024-10-09,Dropped,1287.72
385,77,AWS Cloud Practitioner,LinkedIn Learning,2023-07-30,,Completed,2012.64
386,41,AWS Cloud Practitioner,LinkedIn Learning,2024-01-10,2024-06-28,In Progress,626.57
387,87,Agile & Scrum Fundamentals,Coursera,2024-05-03,2023-11-01,Completed,2773.25
388,169,Project Management Professional,Coursera,2024-02-27,2023-04-01,Completed,2503.26
389,96,Excel Advanced,LinkedIn Learning,2023-12-18,2024-05-26,Completed,1827.34
390,225,Leadership Essentials,Coursera,2023-08-25,2024-02-18,Enrolled,2095.43
391,213,SQL Bootcamp,Internal,2023-08-04,,Completed,930.52
392,199,Excel Advanced,LinkedIn Learning,2024-03-15,2024-09-08,Dropped,2900.88
393,271,Excel Advanced,LinkedIn Learning,2024-06-09,2023-05-13,Enrolled,2410.93
394,8,Agile & Scrum Fundamentals,LinkedIn Learning,2023-12-20,2024-06-02,Completed,611.69
395,96,Project Management Professional,LinkedIn Learning,2023-02-05,2024-06-17,In Progress,1837.52
396,200,Excel Advanced,Udemy,2023-04-24,2023-07-28,Completed,2354.67
397,84,SQL Bootcamp,Pluralsight,2023-02-01,2024-04-21,Dropped,2804.63
398,158,Design Thinking,Internal,2023-02-12,2024-11-01,Enrolled,1757.49
399,2,Leadership Essentials,Pluralsight,2024-02-19,2023-11-01,Completed,2003.17
400,123,Cybersecurity Awareness,Internal,2023-05-27,,Completed,128.53
