benefit_id,employee_id,benefit_type,plan_name,enrollment_date,employer_contribution,employee_contribution
436,276,Retirement,Fidelity 401k,2021-01-21,512.68,175.98
437,62,Life Insurance,Fidelity 401k,2018-12-02,121.14,102.91
438,86,Retirement,Aetna HMO,2021-08-15,267.12,137.81
439,8,Health,Prudential Life,2018-07-10,362.71,40.67
440,258,Vision,Aetna HMO,2020-07-07,108.25,48.41
441,244,Dental,MetLife Vision,2022-03-06,179.12,206.17
442,87,Retirement,Aetna HMO,2020-09-15,134.52,36.17
443,137,Dental,Fidelity 401k,2018-10-05,464.12,115.11
444,120,Life Insurance,Aetna HMO,2022-09-08,331.01,227.13
445,299,Retirement,Aetna HMO,2023-03-21,320.38,32.88
446,293,Life Insurance,Fidelity 401k,2022-07-27,113.28,56.61
447,155,Retirement,Fidelity 401k,2022-12-09,243.22,227.87
448,32,Life Insurance,MetLife Vision,2024-01-14,216.13,207.2
449,274,Retirement,Prudential Life,2023-08-27,344.87,128.13
450,149,Retirement,Aetna HMO,2019-05-31,382.46,228.98
451,246,Dental,MetLife Vision,2018-03-21,262.82,226.84
452,2,Life Insurance,Blue Cross PPO,2018-12-16,491.05,7.0
453,247,Retirement,Prudential Life,2020-08-26,586.35,35.07
454,266,Dental,MetLife Vision,2020-04-12,338.3,75.04
455,277,Retirement,Blue Cross PPO,2020-05-01,555.78,55.79
456,29,Life Insurance,Blue Cross PPO,2020-03-25,215.44,202.22
457,83,Retirement,Fidelity 401k,2021-04-07,536.82,79.53
458,180,Vision,Fidelity 401k,2023-05-30,573.6,133.11
459,254,Life Insurance,Aetna HMO,2021-04-03,241.35,131.39
460,236,Health,MetLife Vision,2021-07-01,111.86,277.62
461,286,Retirement,MetLife Vision,2024-05-17,485.35,223.71
462,65,Health,MetLife Vision,2019-05-10,209.35,128.72
463,273,Dental,Aetna HMO,2023-01-29,287.92,246.66
464,68,Vision,Prudential Life,2020-04-16,555.99,163.38
465,266,Retirement,Prudential Life,2018-04-30,400.05,53.04
466,40,Dental,Blue Cross PPO,2019-10-23,549.14,65.18
467,285,Health,Fidelity 401k,2022-11-15,339.13,10.08
468,200,Dental,Aetna HMO,2021-08-22,477.97,220.83
469,103,Dental,Fidelity 401k,2022-09-14,165.27,290.29
470,260,Vision,Fidelity 401k,2020-07-30,343.64,54.99
471,278,Dental,Prudential Life,2020-11-06,114.03,268.38
472,86,Vision,Aetna HMO,2018-08-28,121.56,73.67
473,24,Life Insurance,Blue Cross PPO,2024-01-25,178.32,228.58
474,61,Dental,Fidelity 401k,2023-05-27,557.13,119.2
475,215,Retirement,MetLife Vision,2023-10-03,203.11,57.82
476,50,Retirement,Aetna HMO,2020-12-27,125.1,182.82
477,244,Vision,Blue Cross PPO,2020-05-22,343.43,265.96
478,274,Vision,Prudential Life,2019-04-06,251.54,195.9
479,195,Retirement,Prudential Life,2019-02-13,378.31,243.95
480,35,Life Insurance,Aetna HMO,2018-01-12,354.38,294.27
481,219,Vision,Aetna HMO,2023-10-02,267.99,271.98
482,135,Health,Fidelity 401k,2022-07-10,369.78,226.14
483,178,Life Insurance,Aetna HMO,2020-10-29,127.25,263.72
484,25,Retirement,Fidelity 401k,2019-12-17,374.4,212.35
485,243,Dental,Aetna HMO,2021-10-23,336.3,218.59
486,165,Health,Aetna HMO,2019-12-17,268.16,74.55
487,61,Dental,Aetna HMO,2023-04-30,184.37,80.72
488,147,Life Insurance,Fidelity 401k,2021-07-13,412.6,74.18
489,7,Retirement,Prudential Life,2021-07-23,372.93,99.09
490,220,Retirement,MetLife Vision,2019-09-01,218.86,112.55
491,249,Life Insurance,Aetna HMO,2024-04-27,105.47,133.14
492,42,Retirement,Aetna HMO,2024-02-05,102.24,127.86
493,208,Retirement,Prudential Life,2021-05-09,106.51,208.36
494,20,Retirement,Aetna HMO,2023-03-27,460.13,50.95
495,58,Retirement,MetLife Vision,2021-01-28,366.4,65.25
496,36,Vision,Fidelity 401k,2021-05-28,225.42,203.65
497,94,Life Insurance,Blue Cross PPO,2022-01-23,291.16,5.8
498,167,Life Insurance,Fidelity 401k,2024-04-14,250.38,294.27
499,139,Life Insurance,Aetna HMO,2019-06-04,368.87,251.12
500,206,Health,Aetna HMO,2019-07-07,518.7,70.23
501,183,Health,Blue Cross PPO,2023-06-21,486.64,263.44
502,262,Retirement,Aetna HMO,2022-08-29,410.82,277.68
503,24,Vision,Prudential Life,2020-11-03,295.83,9.98
504,4,Vision,Aetna HMO,2021-10-13,435.28,31.47
505,192,Life Insurance,Aetna HMO,2018-11-26,318.77,126.63
506,34,Health,Prudential Life,2020-12-12,263.3,60.29
507,40,Vision,MetLife Vision,2022-06-15,151.99,53.86
508,172,Health,Prudential Life,2024-01-03,455.73,181.62
509,185,Vision,Prudential Life,2021-08-03,197.26,141.82
510,245,Life Insurance,Prudential Life,2018-11-30,312.93,125.78
511,23,Life Insurance,MetLife Vision,2021-09-13,139.02,172.31
512,260,Life Insurance,MetLife Vision,2021-03-16,421.96,211.56
513,100,Dental,Blue Cross PPO,2023-04-29,420.22,298.23
514,166,Vision,Fidelity 401k,2023-03-05,242.59,143.1
515,237,Health,MetLife Vision,2018-06-12,360.46,191.32
516,176,Vision,Prudential Life,2023-09-10,434.92,93.62
517,192,Retirement,Fidelity 401k,2020-08-06,564.42,256.06
518,187,Vision,Blue Cross PPO,2018-10-18,463.01,96.53
519,187,Dental,MetLife Vision,2023-02-03,125.63,25.33
520,177,Retirement,Aetna HMO,2022-05-16,300.48,226.92
521,290,Life Insurance,Blue Cross PPO,2024-01-21,128.42,110.24
522,231,Life Insurance,Aetna HMO,2018-04-19,122.54,97.72
523,204,Dental,Blue Cross PPO,2022-09-27,459.53,231.06
524,210,Health,MetLife Vision,2022-07-04,417.29,169.24
525,103,Dental,Aetna HMO,2023-06-09,267.37,208.36
526,276,Dental,Prudential Life,2023-11-03,200.82,240.61
527,117,Health,Fidelity 401k,2020-10-16,425.43,107.3
528,147,Life Insurance,Fidelity 401k,2024-06-25,442.89,150.51
529,90,Health,MetLife Vision,2022-10-26,317.39,62.29
530,256,Life Insurance,MetLife Vision,2018-12-26,117.48,6.38
531,78,Life Insurance,Blue Cross PPO,2018-01-01,119.63,61.57
532,86,Retirement,MetLife Vision,2022-08-04,524.54,139.95
533,7,Life Insurance,Prudential Life,2022-07-22,498.08,92.53
534,298,Health,MetLife Vision,2019-08-12,576.7,208.43
535,212,Vision,Blue Cross PPO,2019-08-29,531.8,182.67
536,152,Dental,Fidelity 401k,2018-09-13,478.99,46.24
537,294,Health,Fidelity 401k,2020-04-04,284.21,136.95
538,300,Dental,MetLife Vision,2018-10-27,579.48,139.2
539,203,Retirement,Blue Cross PPO,2022-03-20,183.61,40.89
540,98,Dental,Prudential Life,2018-04-12,154.7,200.7
541,243,Health,Blue Cross PPO,2022-12-02,330.48,275.36
542,151,Vision,MetLife Vision,2018-03-22,369.61,88.81
543,287,Retirement,Fidelity 401k,2024-06-11,158.54,223.01
544,5,Retirement,Prudential Life,2020-04-08,147.58,39.61
545,105,Dental,Blue Cross PPO,2021-07-30,526.88,67.88
546,256,Retirement,Aetna HMO,2019-02-27,518.51,86.02
547,16,Dental,MetLife Vision,2021-11-28,152.29,31.93
548,144,Life Insurance,MetLife Vision,2022-04-24,364.13,173.31
549,96,Dental,Prudential Life,2023-02-03,436.98,263.42
550,67,Retirement,Prudential Life,2022-05-30,116.07,243.67
551,149,Life Insurance,MetLife Vision,2020-06-01,543.56,109.91
552,183,Health,Blue Cross PPO,2019-08-02,133.19,180.07
553,291,Health,Fidelity 401k,2021-11-26,164.59,57.4
554,173,Life Insurance,Fidelity 401k,2020-08-27,571.88,25.19
555,294,Retirement,Fidelity 401k,2021-01-17,384.64,146.4
556,173,Life Insurance,Fidelity 401k,2020-11-15,280.41,198.76
557,291,Health,Fidelity 401k,2021-07-06,173.91,278.93
558,3,Dental,Blue Cross PPO,2020-04-18,352.19,199.87
559,1,Retirement,Blue Cross PPO,2020-10-08,518.66,190.55
560,12,Vision,Aetna HMO,2018-10-01,170.6,275.33
561,4,Health,Fidelity 401k,2022-07-27,370.67,182.63
562,182,Dental,Blue Cross PPO,2018-06-15,548.95,157.88
563,283,Retirement,Fidelity 401k,2021-05-12,187.65,203.31
564,170,Retirement,Prudential Life,2022-04-21,506.38,54.84
565,29,Vision,Fidelity 401k,2021-03-06,503.2,138.0
566,10,Vision,MetLife Vision,2023-08-02,207.41,219.64
567,111,Retirement,Prudential Life,2018-05-15,332.81,2.76
568,195,Vision,Prudential Life,2023-07-11,170.86,72.1
569,269,Dental,Prudential Life,2024-06-16,433.46,197.92
570,171,Health,MetLife Vision,2022-02-01,417.84,16.31
571,238,Retirement,Blue Cross PPO,2018-06-13,253.08,58.61
572,4,Retirement,MetLife Vision,2019-06-16,331.07,74.6
573,88,Vision,Fidelity 401k,2020-05-23,373.08,138.01
574,158,Dental,Prudential Life,2020-08-17,177.99,245.7
575,83,Dental,Fidelity 401k,2018-08-28,312.81,235.3
576,156,Life Insurance,Aetna HMO,2023-02-09,217.82,223.96
577,71,Dental,Blue Cross PPO,2018-10-20,230.03,284.66
578,132,Retirement,MetLife Vision,2022-01-28,563.72,284.72
579,128,Life Insurance,Blue Cross PPO,2021-08-31,469.82,269.75
580,44,Life Insurance,Fidelity 401k,2019-11-09,130.85,175.45
581,54,Health,Blue Cross PPO,2018-03-22,238.13,81.12
582,112,Health,Fidelity 401k,2018-06-27,391.96,16.02
583,298,Life Insurance,Aetna HMO,2020-11-07,120.51,173.97
584,210,Health,Blue Cross PPO,2023-12-07,561.54,263.14
585,207,Life Insurance,Fidelity 401k,2023-11-28,296.15,98.21
586,156,Dental,Aetna HMO,2021-12-10,192.53,139.32
587,200,Life Insurance,Fidelity 401k,2023-03-31,267.79,207.94
588,151,Vision,Aetna HMO,2019-12-20,347.13,102.38
589,45,Life Insurance,Aetna HMO,2019-08-23,501.86,39.15
590,209,Retirement,Fidelity 401k,2021-02-18,168.81,56.11
591,89,Health,MetLife Vision,2022-04-28,129.01,288.27
592,182,Dental,Aetna HMO,2023-09-17,496.01,292.66
593,281,Retirement,Blue Cross PPO,2021-03-24,190.81,6.53
594,114,Vision,MetLife Vision,2023-08-05,324.7,66.12
595,91,Vision,Blue Cross PPO,2021-04-02,394.79,155.2
596,110,Retirement,Aetna HMO,2020-07-27,597.34,275.96
597,174,Vision,Aetna HMO,2020-06-12,465.66,60.03
598,153,Retirement,MetLife Vision,2022-11-04,208.85,261.98
599,223,Vision,Prudential Life,2021-12-29,354.64,136.21
600,221,Vision,Fidelity 401k,2022-05-10,528.22,272.55
