alert_id,alert_type,source,severity,message,triggered_at,acknowledged_at,status,asset_id
235,Malware,DLP,Medium,Within few play skill agent now.,2024-11-12 01:56:00,2024-08-01 11:58:00,Closed,69
236,Intrusion Detection,WAF,Low,Three would inside.,2024-09-12 07:23:00,2024-08-14 09:09:00,Closed,5
237,Anomalous Login,DLP,Medium,Add series future word product wrong indicate.,2024-10-17 03:21:00,,Closed,1
238,Policy Violation,SIEM,Medium,His decision federal place work pretty thus manage.,2024-08-28 02:46:00,2024-09-30 07:31:00,Closed,6
239,Intrusion Detection,IDS,Medium,Arrive sure increase watch.,2024-04-06 23:56:00,2024-04-24 14:40:00,Closed,29
240,Anomalous Login,DLP,Low,Cultural cut piece window ahead determine.,2025-01-26 18:18:00,2024-12-13 02:16:00,Acknowledged,20
241,Anomalous Login,DLP,Medium,Whole seat until quality young national.,2024-10-24 08:49:00,2024-10-30 04:08:00,Closed,73
242,Malware,DLP,Medium,Positive read why admit son yes many.,2024-06-19 23:54:00,,Closed,62
243,Anomalous Login,DLP,Low,In necessary red follow word.,2024-01-27 13:45:00,2024-07-19 14:53:00,Closed,31
244,Data Exfiltration,SIEM,High,Raise now decision response.,2024-04-11 19:24:00,2024-09-09 23:26:00,Closed,59
245,Intrusion Detection,IDS,High,Successful throughout police.,2024-08-22 07:36:00,,Acknowledged,27
246,Intrusion Detection,WAF,Low,Series public site between treatment not hard.,2024-07-09 00:46:00,2025-01-04 15:03:00,Acknowledged,55
247,Data Exfiltration,SIEM,Medium,Better ability message simply available how shoulder.,2024-10-16 01:11:00,2024-01-21 14:35:00,Closed,21
248,Intrusion Detection,WAF,Critical,Key ago test worker choice word trial.,2024-06-06 22:37:00,,Closed,84
249,Policy Violation,IDS,Low,Put sure her themselves amount reason.,2024-08-02 10:03:00,,Closed,73
250,Intrusion Detection,EDR,Medium,Paper certain add you method.,2024-04-11 09:13:00,2024-08-18 03:51:00,Closed,27
251,Anomalous Login,SIEM,High,Only central similar skin stock foot method.,2024-06-29 22:38:00,,Closed,96
252,Anomalous Login,WAF,Medium,Participant standard name court agency.,2024-08-04 04:00:00,2024-09-22 16:56:00,Closed,91
253,Malware,WAF,Low,Likely seem check happy necessary never note.,2024-06-28 15:50:00,,Closed,3
254,Data Exfiltration,DLP,High,Mind day article edge learn.,2025-01-24 09:53:00,2024-02-26 04:15:00,Investigating,60
255,Malware,EDR,Medium,Back country window reveal give president under.,2024-09-08 04:19:00,2024-05-27 19:12:00,Closed,59
256,Data Exfiltration,IDS,Low,Floor season network.,2025-01-04 06:04:00,,Investigating,45
257,Data Exfiltration,SIEM,Medium,Report remember avoid these able.,2024-10-25 18:05:00,2024-06-26 09:42:00,Closed,39
258,Intrusion Detection,WAF,Medium,Method group rock board sure.,2024-07-08 17:08:00,2024-08-06 10:34:00,Closed,35
259,Data Exfiltration,SIEM,Low,Radio program media billion.,2024-08-07 00:05:00,2024-10-07 01:16:00,Closed,35
260,Malware,WAF,Medium,Expect foot five this record history follow guess.,2024-05-27 22:24:00,2024-01-31 11:18:00,Closed,87
261,Data Exfiltration,IDS,Medium,Even big choice which.,2024-05-20 02:20:00,2024-06-09 06:42:00,Closed,31
262,Data Exfiltration,WAF,High,My article treat around course can four.,2024-04-21 23:38:00,2024-03-23 22:52:00,Closed,9
263,Anomalous Login,WAF,Low,Eight many issue book those film wide church.,2024-08-05 16:22:00,,Closed,100
264,Data Exfiltration,IDS,Medium,Out see up.,2025-01-08 16:54:00,2024-10-28 20:57:00,Closed,86
265,Malware,DLP,Low,Use in baby but.,2024-09-06 08:02:00,2024-07-05 22:20:00,Acknowledged,98
266,Policy Violation,EDR,Low,You nor might true suddenly art.,2024-12-05 01:52:00,2024-04-23 20:23:00,Acknowledged,19
267,Anomalous Login,EDR,Medium,Ask report despite receive.,2024-07-28 16:34:00,2024-05-06 06:20:00,New,51
268,Intrusion Detection,WAF,Medium,Information often high word.,2024-09-24 13:25:00,2024-08-20 06:50:00,Closed,69
269,Data Exfiltration,DLP,Low,Would practice town cost nature positive worker court.,2024-07-16 14:06:00,2025-01-01 14:06:00,Closed,24
270,Intrusion Detection,DLP,Medium,Film fall film hotel college soon against.,2024-04-28 05:45:00,2024-08-30 05:10:00,Closed,52
271,Data Exfiltration,IDS,High,Enough owner argue wonder mention yet room.,2024-04-19 05:54:00,2024-11-21 00:29:00,Investigating,94
272,Data Exfiltration,DLP,High,Garden party account.,2024-10-14 02:36:00,2024-08-29 14:18:00,Closed,57
273,Data Exfiltration,DLP,Medium,Class political job discuss charge.,2025-01-15 19:02:00,,Closed,10
274,Intrusion Detection,DLP,Medium,Man beat record make level well business.,2024-05-03 23:03:00,2024-03-14 09:54:00,Closed,6
275,Intrusion Detection,EDR,Medium,Strategy head bag.,2024-09-29 15:55:00,2025-01-11 01:33:00,Closed,56
276,Intrusion Detection,WAF,Low,Scientist toward occur security see base.,2025-01-25 04:10:00,2024-11-23 01:02:00,Closed,52
277,Intrusion Detection,WAF,Medium,From necessary or responsibility so cold.,2024-06-28 06:48:00,2024-04-02 19:21:00,New,50
278,Anomalous Login,WAF,Critical,Eight phone cell benefit cup necessary.,2024-02-16 11:51:00,2024-07-22 13:00:00,Closed,69
279,Policy Violation,DLP,Low,Enough modern unit prove.,2024-07-17 10:32:00,2024-01-25 18:32:00,Closed,56
280,Data Exfiltration,EDR,Low,Movement production against choice away upon writer.,2025-01-12 02:54:00,2024-01-09 15:45:00,Closed,47
281,Data Exfiltration,WAF,Low,Fire blood possible rest certainly fine.,2024-10-02 11:29:00,2024-08-16 02:18:00,Investigating,22
282,Anomalous Login,SIEM,Low,Subject middle book write blood guy.,2025-01-17 21:37:00,,Closed,74
283,Intrusion Detection,EDR,Low,Case health art art catch sure.,2024-10-20 00:18:00,,Closed,94
284,Anomalous Login,EDR,High,Administration break decision example few.,2024-10-10 03:50:00,2024-08-04 18:14:00,Investigating,71
285,Malware,WAF,Low,Continue example let long question.,2024-01-17 01:50:00,2024-09-19 13:44:00,Closed,83
286,Policy Violation,IDS,High,Who he professional.,2025-01-10 07:59:00,2024-11-04 04:01:00,Investigating,69
287,Intrusion Detection,WAF,Low,Catch card long listen wall camera apply figure.,2024-10-26 13:39:00,2024-03-20 19:02:00,Closed,49
288,Anomalous Login,IDS,Medium,Human various list on whom view receive.,2024-10-13 21:57:00,2024-03-20 16:09:00,Acknowledged,55
289,Malware,DLP,High,Idea option possible figure as girl.,2025-01-02 07:56:00,2024-09-17 23:32:00,Closed,57
290,Intrusion Detection,EDR,High,Real skill peace herself collection language idea.,2024-07-22 16:12:00,2024-11-16 07:56:00,Investigating,67
291,Data Exfiltration,WAF,Low,North media watch kitchen treat.,2024-10-19 03:18:00,2024-06-09 10:19:00,Acknowledged,84
292,Anomalous Login,EDR,Medium,Tell material answer we green contain animal at.,2024-10-26 04:50:00,2024-09-23 10:43:00,Acknowledged,87
293,Policy Violation,WAF,Medium,Sport win rule central what hard now.,2024-11-21 15:23:00,2024-05-11 00:35:00,Acknowledged,13
294,Anomalous Login,DLP,Low,Dog response catch shake beat.,2024-10-14 06:37:00,2024-07-24 01:21:00,Closed,85
295,Malware,WAF,Low,Discussion born time wear issue.,2024-03-22 18:06:00,2024-10-18 11:01:00,Closed,96
296,Intrusion Detection,WAF,High,School perform professor film film there.,2024-09-14 11:18:00,2024-03-16 18:02:00,Investigating,68
297,Policy Violation,EDR,Medium,Main maintain born you southern oil today social.,2024-11-28 23:52:00,2025-01-23 19:54:00,Investigating,23
298,Anomalous Login,DLP,Medium,Have nation law dream.,2024-08-22 05:24:00,2024-02-15 19:40:00,Acknowledged,23
299,Malware,DLP,Critical,Trial manager focus hard.,2024-01-24 16:49:00,2024-12-26 07:14:00,Investigating,40
300,Malware,EDR,Medium,Husband consider feeling decision thank rich few.,2024-12-16 11:44:00,2024-11-18 21:35:00,Closed,65
301,Malware,EDR,High,Mrs woman represent scientist surface land speech.,2024-11-12 01:46:00,2024-12-01 11:51:00,Closed,73
302,Malware,WAF,Low,Positive market ten mind age position least.,2024-12-26 11:25:00,2024-10-10 11:24:00,Closed,45
303,Malware,SIEM,Low,Attack window suddenly more.,2024-11-05 22:15:00,2024-06-30 20:27:00,Closed,95
304,Malware,DLP,High,Fill any choose maintain employee meeting eight everybody.,2024-12-02 14:34:00,2024-07-24 17:04:00,Closed,31
305,Intrusion Detection,EDR,High,Kid stay image into appear.,2024-03-08 00:16:00,2024-06-08 19:48:00,Closed,29
306,Policy Violation,WAF,Low,Much however your learn build.,2024-08-08 16:16:00,2024-12-04 16:16:00,Closed,6
307,Intrusion Detection,WAF,Medium,Away attack collection majority key detail statement.,2024-01-22 20:54:00,2025-01-09 05:39:00,Closed,49
308,Policy Violation,DLP,Medium,Explain individual win scientist heart by time.,2025-01-31 03:44:00,2025-01-28 23:19:00,Investigating,90
309,Data Exfiltration,IDS,Medium,Politics policy political stop tough.,2024-09-28 05:40:00,2024-07-02 03:40:00,Investigating,96
310,Data Exfiltration,EDR,High,Fish many talk building.,2024-01-01 02:39:00,2024-10-02 09:43:00,Investigating,40
311,Data Exfiltration,WAF,Low,Social everyone should plan gas.,2024-07-01 02:23:00,2024-06-09 13:24:00,Acknowledged,67
312,Anomalous Login,IDS,Medium,Others PM air least situation article.,2024-04-22 01:11:00,2024-07-27 15:12:00,Closed,1
313,Anomalous Login,WAF,Medium,Politics strategy piece health why agree.,2025-01-12 15:51:00,2024-05-05 19:03:00,New,27
314,Policy Violation,EDR,Low,Author cultural simply.,2024-01-30 07:44:00,2024-01-29 03:03:00,Acknowledged,38
315,Policy Violation,SIEM,High,Bit likely which onto board.,2024-06-17 10:38:00,,Investigating,68
316,Policy Violation,WAF,Low,Offer never high real.,2024-03-05 06:40:00,2024-11-30 07:47:00,New,29
317,Data Exfiltration,WAF,Medium,Appear hand small trip class.,2024-05-05 05:32:00,2024-02-20 12:26:00,Closed,17
318,Data Exfiltration,DLP,Low,Marriage eye mother issue.,2024-02-26 20:47:00,2024-11-30 09:36:00,Closed,25
319,Malware,DLP,Low,Type idea tree service.,2024-12-13 06:10:00,2024-08-21 20:58:00,Investigating,40
320,Anomalous Login,WAF,Medium,Democratic film measure career child.,2024-07-08 17:14:00,2024-02-09 01:45:00,Acknowledged,94
321,Data Exfiltration,WAF,Medium,Camera every about fall.,2024-08-20 19:27:00,2024-12-26 13:07:00,Acknowledged,1
322,Intrusion Detection,EDR,Medium,Image leader heavy choose article stock rather.,2024-05-28 03:56:00,,Closed,96
323,Data Exfiltration,DLP,Medium,Message information performance later discussion.,2024-01-11 13:14:00,2024-07-22 12:04:00,Closed,34
324,Anomalous Login,DLP,Medium,Hear area draw claim.,2024-07-18 10:37:00,2024-11-14 07:53:00,New,28
325,Intrusion Detection,SIEM,Medium,Same garden result wrong.,2024-08-23 03:27:00,2024-10-17 23:38:00,Investigating,73
326,Intrusion Detection,DLP,Low,Smile arrive run institution girl.,2024-06-16 12:35:00,2024-08-29 09:41:00,Closed,37
327,Data Exfiltration,EDR,Medium,Throw home pick pull should from.,2025-01-09 04:53:00,2024-09-25 15:21:00,Investigating,3
328,Data Exfiltration,EDR,Medium,Mind evening goal design economic trade authority.,2024-12-29 04:54:00,2024-06-20 17:22:00,Acknowledged,64
329,Intrusion Detection,IDS,Critical,Song some quality.,2024-06-28 19:48:00,2024-02-25 17:41:00,Closed,15
330,Anomalous Login,EDR,High,Mrs heart identify.,2024-04-17 06:18:00,2024-02-20 05:12:00,Closed,89
331,Intrusion Detection,EDR,Critical,Father way in.,2024-04-16 07:30:00,2024-09-05 15:42:00,Closed,33
332,Data Exfiltration,EDR,Low,Watch benefit guy recent store.,2024-08-10 15:15:00,2024-11-06 13:46:00,New,7
333,Malware,IDS,Critical,Buy heavy opportunity condition office agree.,2024-07-21 07:04:00,2024-11-18 22:30:00,Closed,60
334,Intrusion Detection,IDS,Low,Involve doctor we quickly deep together conference.,2024-10-09 01:19:00,2024-03-05 08:53:00,Closed,49
335,Data Exfiltration,SIEM,Low,Step top describe so and lay collection.,2024-09-06 05:38:00,2024-11-13 16:50:00,Closed,44
336,Malware,EDR,Medium,No effect use our.,2024-06-26 12:33:00,2024-04-25 09:52:00,Closed,83
337,Malware,WAF,Medium,Tree not safe main fall must.,2024-09-26 19:12:00,2024-09-25 08:40:00,Acknowledged,28
338,Malware,WAF,High,Almost main hot though political property.,2024-05-16 16:36:00,2024-01-03 00:52:00,New,77
339,Intrusion Detection,DLP,Low,Late degree me themselves arm billion southern.,2024-10-12 15:51:00,2024-12-11 21:41:00,New,85
340,Anomalous Login,WAF,High,Present common various.,2024-04-16 05:55:00,2024-02-01 21:25:00,Closed,26
341,Malware,DLP,Medium,War morning hair whole.,2024-12-03 07:17:00,,Acknowledged,100
342,Anomalous Login,EDR,Low,Decision management analysis expert.,2024-12-20 23:59:00,2024-02-24 08:59:00,Investigating,8
343,Data Exfiltration,IDS,Low,Soon huge drug cost everything race human.,2024-01-27 00:11:00,,Closed,1
344,Intrusion Detection,WAF,Medium,Important everything body various college.,2024-09-02 21:42:00,2024-06-16 11:23:00,New,37
345,Anomalous Login,WAF,Low,How season foot financial.,2024-03-29 00:48:00,2024-07-23 19:38:00,Closed,43
346,Data Exfiltration,EDR,High,One cultural onto light car thousand fear.,2024-09-21 01:59:00,2024-11-07 18:55:00,Closed,14
347,Malware,SIEM,High,Back history stop serious find protect.,2024-01-27 05:04:00,2024-12-16 12:17:00,Closed,11
348,Intrusion Detection,WAF,Low,Anyone whole tax product.,2024-03-12 16:39:00,2024-08-14 18:41:00,Closed,91
349,Intrusion Detection,DLP,High,Enjoy bar security serious enter majority.,2024-12-12 11:20:00,2024-08-27 17:49:00,Investigating,92
350,Malware,SIEM,Medium,Cold produce learn.,2024-09-19 22:47:00,2024-01-11 21:03:00,Acknowledged,58
351,Data Exfiltration,DLP,High,Form day including.,2024-01-17 22:55:00,2025-01-18 01:29:00,Acknowledged,97
352,Data Exfiltration,DLP,Low,Down later cost send.,2024-11-15 23:00:00,2024-09-17 11:55:00,Acknowledged,100
353,Policy Violation,EDR,Medium,Property sign word speak act Mr.,2024-01-19 23:33:00,2024-08-07 09:27:00,Closed,24
354,Anomalous Login,IDS,Low,Their be or treat floor hotel.,2024-02-26 07:16:00,2024-10-15 19:47:00,Acknowledged,43
355,Anomalous Login,EDR,Medium,Compare control identify painting set.,2024-10-19 11:55:00,2024-11-11 04:05:00,Investigating,63
356,Malware,IDS,Low,Sport meet box girl.,2025-01-15 07:19:00,,Closed,71
357,Data Exfiltration,DLP,Medium,Race condition whose baby.,2024-07-03 14:12:00,2024-05-02 20:53:00,Closed,78
358,Policy Violation,EDR,High,Fact cause certainly they parent under east either.,2024-05-18 23:24:00,2024-10-28 12:31:00,Investigating,98
359,Intrusion Detection,IDS,Medium,Kitchen so long up beautiful if quickly.,2024-08-22 07:26:00,2024-10-16 22:26:00,Investigating,8
360,Malware,EDR,Medium,Civil election trial hair.,2024-09-20 14:48:00,2024-03-09 19:04:00,Acknowledged,92
361,Malware,SIEM,Medium,Together minute television dog item matter nice.,2024-02-14 02:43:00,2024-01-17 02:09:00,Closed,46
362,Anomalous Login,SIEM,Critical,Young executive message run sort.,2024-08-30 20:49:00,2024-03-24 04:20:00,Closed,95
363,Data Exfiltration,WAF,Medium,Memory hot player goal play consumer home.,2024-05-18 02:33:00,2024-05-15 04:38:00,Investigating,71
364,Policy Violation,SIEM,Medium,Image popular age war loss hard from.,2024-11-22 21:49:00,,Closed,42
365,Policy Violation,SIEM,Low,Agent cost central.,2024-11-18 12:52:00,2024-10-14 08:15:00,Closed,82
366,Policy Violation,EDR,Medium,Add cut important sport exactly them.,2024-09-04 19:22:00,2024-03-26 21:53:00,Acknowledged,39
367,Data Exfiltration,SIEM,High,Choice along thus laugh beautiful center born source.,2024-05-19 13:08:00,2024-08-16 15:09:00,Closed,1
368,Policy Violation,SIEM,Medium,Last computer still direction compare.,2024-10-29 09:34:00,2024-06-12 11:12:00,Closed,11
369,Intrusion Detection,WAF,Medium,Rate writer reflect performance.,2024-07-21 02:11:00,2024-02-23 12:17:00,Acknowledged,24
370,Intrusion Detection,DLP,Low,Foreign citizen statement scientist call east rock.,2024-07-22 06:55:00,2024-06-12 17:52:00,Closed,59
371,Policy Violation,IDS,Low,Vote room the member center.,2024-03-14 19:21:00,2024-08-05 00:53:00,Acknowledged,73
372,Policy Violation,DLP,Low,Ahead likely sometimes middle site.,2024-12-06 17:38:00,2024-07-04 20:10:00,Acknowledged,18
373,Anomalous Login,WAF,Low,Stock particularly bit travel indicate away may operation.,2024-05-31 03:39:00,2025-01-29 18:05:00,Investigating,35
374,Data Exfiltration,SIEM,Medium,Standard air move rich enjoy person discuss.,2024-10-31 17:53:00,2024-08-22 10:35:00,Acknowledged,58
375,Malware,EDR,Low,Join yet sing forget.,2024-04-01 06:11:00,2024-01-17 00:11:00,Closed,5
376,Malware,SIEM,Low,Control grow else hope.,2024-06-05 09:47:00,2025-01-25 22:07:00,New,15
377,Intrusion Detection,SIEM,Low,Something ready represent machine continue.,2025-01-21 00:49:00,,Investigating,81
378,Data Exfiltration,SIEM,Low,Big firm give certainly.,2024-12-03 23:36:00,2024-07-14 21:59:00,Closed,99
379,Data Exfiltration,IDS,Low,Since hot tend.,2024-04-01 17:33:00,2024-03-08 20:37:00,Closed,68
380,Malware,WAF,Medium,Since control usually kind gun.,2024-02-09 05:10:00,,New,27
381,Intrusion Detection,DLP,Medium,Relate house spring writer.,2024-09-01 10:45:00,2024-04-03 16:13:00,Investigating,49
382,Data Exfiltration,EDR,Low,Instead national community where.,2024-07-14 12:14:00,2024-07-21 07:47:00,Closed,58
383,Malware,IDS,Low,Situation these different ok international return we wear.,2024-06-20 08:58:00,2025-01-25 23:17:00,New,68
384,Policy Violation,SIEM,Medium,Food chance offer house fight where assume.,2024-12-29 19:06:00,,Closed,44
385,Data Exfiltration,DLP,Low,Mention defense to probably.,2024-07-14 03:21:00,2024-07-08 11:50:00,Acknowledged,10
386,Malware,EDR,Medium,Choice say budget report Mr wind form.,2024-10-19 05:55:00,2024-08-23 12:26:00,Closed,67
387,Policy Violation,DLP,Low,Team simple visit item reason tax.,2024-07-27 16:16:00,,Closed,43
388,Policy Violation,EDR,Medium,You skin wide leader scene inside.,2024-07-17 12:40:00,,Investigating,77
389,Data Exfiltration,IDS,Low,Great peace sell away when here.,2024-08-23 17:30:00,2024-02-12 16:44:00,Closed,45
390,Data Exfiltration,SIEM,Medium,One image scientist case her work.,2024-03-02 01:37:00,,Investigating,26
391,Anomalous Login,IDS,Medium,Remember society girl bit eye late above.,2024-08-02 09:13:00,,Acknowledged,82
392,Policy Violation,EDR,High,Culture quite wind father billion.,2024-03-18 02:47:00,2024-05-15 04:03:00,Closed,7
393,Policy Violation,SIEM,Low,Choice culture marriage light even too.,2024-10-02 14:43:00,2024-07-13 19:28:00,Acknowledged,1
394,Policy Violation,DLP,Medium,Congress better control feeling.,2024-09-27 21:07:00,2024-01-11 03:55:00,New,48
395,Malware,SIEM,High,Special soldier success court.,2024-05-12 15:26:00,2024-12-29 06:38:00,Closed,52
396,Anomalous Login,WAF,Medium,Begin run soon office true either daughter.,2025-01-04 19:00:00,2024-05-25 04:44:00,Closed,32
397,Anomalous Login,SIEM,High,Force all computer up music rock force.,2024-03-02 06:40:00,2024-11-30 21:03:00,Acknowledged,99
398,Malware,DLP,High,Save dog listen agency finish save follow.,2024-10-18 02:19:00,2024-08-25 07:58:00,Acknowledged,12
399,Intrusion Detection,WAF,Critical,Fish interview cut public far.,2024-10-25 12:09:00,,Closed,84
400,Anomalous Login,DLP,Critical,Assume keep back purpose plan.,2024-09-22 13:50:00,2024-12-17 18:06:00,Closed,79
401,Anomalous Login,WAF,High,Throw herself upon crime.,2025-01-25 06:51:00,2024-09-14 20:26:00,Investigating,51
402,Intrusion Detection,EDR,Low,End physical reduce the tend deep.,2024-09-29 20:25:00,2024-02-28 05:39:00,New,43
403,Policy Violation,IDS,Medium,War coach few machine improve number cell.,2024-02-27 03:59:00,2024-11-15 03:40:00,Investigating,25
404,Data Exfiltration,EDR,Medium,Allow type card water.,2024-06-14 18:57:00,2024-12-22 17:10:00,Closed,77
405,Malware,DLP,Medium,Total effort significant reach community mention field leave.,2024-08-20 17:12:00,2024-02-23 13:59:00,Closed,78
406,Malware,IDS,Low,Individual west woman series professional method be.,2024-11-27 13:06:00,2024-01-24 14:11:00,Investigating,55
407,Data Exfiltration,SIEM,Medium,Hard fall painting blood.,2024-12-09 10:24:00,2024-08-09 23:22:00,Closed,69
408,Intrusion Detection,WAF,Medium,Focus role full customer turn.,2024-05-24 11:51:00,2024-01-12 04:32:00,Closed,36
409,Intrusion Detection,IDS,Low,Book development letter fact history issue.,2024-02-21 01:05:00,2025-01-28 21:11:00,Acknowledged,60
410,Intrusion Detection,IDS,Low,Step five drop laugh after sell.,2024-07-19 18:43:00,,Closed,15
411,Anomalous Login,WAF,High,Him back marriage employee about.,2024-06-23 05:42:00,2024-02-19 22:13:00,Investigating,88
412,Malware,EDR,High,Send take white source company law more she.,2024-06-01 06:50:00,2024-08-06 20:34:00,Closed,91
413,Intrusion Detection,SIEM,Medium,Task production hold show cell.,2024-12-27 11:45:00,2024-02-09 10:53:00,Closed,99
414,Malware,EDR,Medium,International worry take evening never college crime pattern.,2024-11-30 21:07:00,2024-11-12 02:43:00,Closed,68
415,Malware,EDR,High,Population threat necessary those.,2024-08-11 23:54:00,2024-09-05 11:44:00,Closed,72
416,Intrusion Detection,SIEM,Low,Finish ready next real man election thousand.,2024-07-30 05:10:00,2024-02-13 22:09:00,Acknowledged,22
417,Intrusion Detection,WAF,Medium,Parent century hair east.,2024-12-26 04:50:00,2024-01-29 10:27:00,Closed,5
418,Intrusion Detection,WAF,High,Laugh friend son employee.,2024-05-16 11:17:00,2024-02-18 22:11:00,Closed,44
419,Intrusion Detection,WAF,High,Its far doctor suffer.,2025-01-19 22:49:00,2024-05-22 02:41:00,Closed,4
420,Malware,IDS,Medium,Any owner letter suddenly live.,2024-10-05 07:42:00,,Investigating,44
421,Malware,IDS,Low,Generation industry open arm family.,2025-01-10 22:38:00,2024-04-09 18:10:00,Closed,8
422,Policy Violation,SIEM,Low,Can value sell pattern hot.,2024-03-23 08:03:00,2024-08-19 05:43:00,Closed,86
423,Intrusion Detection,IDS,High,Quality argue meeting position civil sense.,2024-08-19 17:47:00,2024-06-13 09:41:00,Acknowledged,1
424,Malware,SIEM,Medium,Couple wait chance people.,2024-06-02 10:21:00,2024-12-23 13:12:00,Closed,73
425,Intrusion Detection,EDR,Low,Main democratic statement final value movie.,2025-01-03 07:07:00,2024-10-12 04:01:00,Closed,67
426,Anomalous Login,IDS,Low,Pay blue paper think letter easy.,2024-06-19 07:08:00,2024-07-19 20:06:00,Closed,39
427,Intrusion Detection,DLP,High,Memory hot song offer center Republican.,2024-08-22 03:12:00,2024-08-20 21:16:00,Closed,5
428,Malware,SIEM,Low,Dinner realize cultural if me.,2024-07-03 07:06:00,,Closed,39
429,Policy Violation,WAF,Medium,Baby speech whole join.,2024-08-10 22:40:00,2024-05-24 06:39:00,Acknowledged,24
430,Data Exfiltration,SIEM,Medium,Whole garden serious girl crime.,2024-06-21 01:38:00,2024-05-21 00:33:00,Closed,39
431,Anomalous Login,SIEM,High,Understand southern interesting nothing past.,2024-02-18 20:39:00,2024-10-03 20:30:00,New,44
432,Malware,WAF,High,Sing campaign enough including site article off.,2024-11-25 05:28:00,2024-03-11 10:35:00,Investigating,74
433,Data Exfiltration,IDS,Low,Region minute foot physical building oil red.,2024-01-14 04:37:00,2024-04-20 21:57:00,Closed,44
434,Anomalous Login,WAF,Low,Federal despite fine not budget city author education.,2024-11-18 16:56:00,2024-05-14 14:26:00,Closed,18
435,Policy Violation,WAF,Medium,Often leg hope.,2024-12-16 17:56:00,2024-03-22 08:30:00,Closed,55
436,Intrusion Detection,SIEM,Medium,Travel nearly weight manager almost.,2024-05-14 07:32:00,2024-07-09 00:26:00,Closed,62
437,Anomalous Login,EDR,Medium,Way have seat.,2024-08-05 17:42:00,2024-03-04 14:17:00,Closed,79
438,Anomalous Login,EDR,High,Pm let up after happy TV issue.,2025-01-29 17:00:00,2024-09-07 19:27:00,Closed,27
439,Malware,SIEM,Medium,Anyone laugh who thing now.,2024-01-02 18:07:00,,Closed,83
440,Policy Violation,WAF,Low,Major baby population old house pretty short whom.,2024-12-09 09:38:00,2024-12-20 22:25:00,Investigating,49
441,Anomalous Login,DLP,Medium,Perform executive maintain step.,2024-11-10 23:19:00,2024-02-08 21:19:00,Closed,69
442,Anomalous Login,WAF,Critical,Exactly source bill risk evening.,2025-01-07 08:01:00,2024-10-31 21:47:00,Closed,94
443,Malware,WAF,High,Material message nor cause.,2024-04-17 12:39:00,2024-03-06 22:23:00,Closed,67
444,Anomalous Login,EDR,Low,Century fish serious decision agreement conference read and.,2024-04-02 11:04:00,2024-03-01 04:52:00,Closed,42
445,Anomalous Login,SIEM,High,Fight either purpose suffer.,2024-11-06 22:23:00,2024-10-17 16:52:00,Closed,78
446,Policy Violation,IDS,High,Pay area girl have.,2024-04-08 15:02:00,2024-02-05 01:22:00,Acknowledged,31
447,Anomalous Login,DLP,Medium,Drive mean reason agreement.,2024-05-04 06:03:00,,Closed,57
448,Anomalous Login,SIEM,Medium,Whether manager lose show finish up executive carry.,2024-09-02 02:16:00,2024-09-03 14:35:00,New,51
449,Intrusion Detection,IDS,Low,Discussion decision want since surface newspaper.,2025-01-30 01:04:00,2024-02-25 05:40:00,Closed,61
450,Intrusion Detection,EDR,Medium,This term garden number among.,2024-10-22 22:43:00,2024-01-11 22:01:00,Closed,94
451,Anomalous Login,IDS,Medium,No society next far decade.,2025-01-31 22:13:00,2024-05-05 05:25:00,New,67
452,Anomalous Login,WAF,Medium,Instead any product smile.,2024-01-06 12:38:00,2024-05-02 15:06:00,Closed,86
453,Malware,SIEM,Medium,Source American hand season during.,2024-06-11 23:49:00,2024-10-03 08:07:00,Acknowledged,29
454,Intrusion Detection,SIEM,Medium,Until budget magazine low this.,2024-04-09 17:06:00,2024-03-04 16:49:00,New,99
455,Anomalous Login,DLP,Low,Data responsibility prepare very remember.,2024-12-12 13:13:00,2024-01-22 21:10:00,Closed,7
456,Intrusion Detection,IDS,High,Whatever region trouble.,2024-01-03 00:42:00,2024-06-23 17:01:00,Closed,68
457,Malware,WAF,Low,Book rest charge wish personal most begin.,2024-08-07 13:48:00,2024-10-11 01:55:00,Investigating,19
458,Policy Violation,EDR,Critical,Provide this professor notice which attack.,2024-09-29 17:46:00,2024-04-25 13:30:00,Closed,10
459,Data Exfiltration,WAF,Medium,Leave play minute push product station.,2024-05-19 15:14:00,2024-07-05 05:41:00,Acknowledged,38
460,Intrusion Detection,DLP,Medium,Sort upon child thank truth news thought.,2024-12-01 08:44:00,2024-02-24 16:34:00,Acknowledged,30
461,Intrusion Detection,SIEM,High,Quite travel side cell style soldier last.,2025-01-28 05:29:00,2024-01-18 21:20:00,Investigating,86
462,Policy Violation,DLP,Medium,Dream group finally process tough paper.,2025-01-07 12:29:00,,Closed,11
463,Anomalous Login,EDR,High,Give travel later continue hospital.,2025-01-09 09:54:00,2024-09-01 19:48:00,Closed,52
464,Intrusion Detection,DLP,Medium,Woman reduce class southern professional discuss reflect whose.,2024-11-19 09:15:00,2024-08-11 13:08:00,Investigating,22
465,Policy Violation,EDR,Low,Arm audience plant performance.,2024-02-14 17:41:00,2024-09-15 10:52:00,Acknowledged,9
466,Malware,EDR,High,Fly parent own age course.,2024-12-17 06:05:00,2024-05-18 03:00:00,New,89
467,Anomalous Login,WAF,Medium,Short catch time past past dog.,2025-01-03 18:54:00,2024-12-12 02:44:00,Closed,98
